symbol,signal_date,score,signal,entry_lag,hold_days,entry_date,exit_date,entry_open,exit_close,pnl
NTDOY,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,22.5,22.010000228881836,-0.021777767605251738
NU,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,13.65999984741211,13.989999771118164,0.024158120599728505
ORCL,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,217.67999267578125,248.75,0.1427324897538714
PLUG,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,1.4199999570846558,1.649999976158142,0.16197184931307324
ROKU,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,86.4000015258789,91.0999984741211,0.054398111866171946
RUN,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,9.085000038146973,9.960000038146973,0.09631260278766822
S,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,18.200000762939453,17.719999313354492,-0.026373704915572577
SHOP,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,111.80000305175781,126.75,0.1337208992858532
SHOP,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,111.80000305175781,126.75,0.1337208992858532
SOFI,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,17.524999618530273,22.09000015258789,0.26048505754207024
TTWO,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,239.92999267578125,233.9199981689453,-0.02504895048680836
TWLO,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,116.48999786376953,126.41000366210938,0.08515757558808526
UPST,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,68.17500305175781,77.58000183105469,0.13795377129879538
NIO,2025-09-30,2,LONG,2,10,2025-10-02,2025-10-16,7.849999904632568,6.829999923706055,-0.12993630488130004
PATH,2025-09-30,2,LONG,2,10,2025-10-02,2025-10-16,13.079999923706055,15.930000305175781,0.2178899386921567
S,2025-09-30,2,LONG,2,10,2025-10-02,2025-10-16,17.530000686645508,16.81999969482422,-0.04050205156935181
SNAP,2025-09-30,2,LONG,2,10,2025-10-02,2025-10-16,7.829999923706055,7.760000228881836,-0.008939935569129209
TWLO,2025-09-30,2,LONG,2,10,2025-10-02,2025-10-16,102.19999694824219,106.2300033569336,0.03943254920772991
WOLF,2025-09-30,3,LONG,2,10,2025-10-02,2025-10-16,25.06999969482422,32.439998626708984,0.2939768257518697
XYL,2025-09-30,2,LONG,2,10,2025-10-02,2025-10-16,148.49000549316406,144.8300018310547,-0.024648148203333914
AFRM,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,67.41999816894531,68.55999755859375,0.016908920507410198
AI,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,24.600000381469727,23.559999465942383,-0.04227645932520953
APP,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,342.5299987792969,390.70001220703125,0.14063005751146448
BE,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,22.329999923706055,37.38999938964844,0.6744289976443005
