symbol,date,release_time,entry_date,eps_actual,eps_estimate,eps_surprise_raw,eps_surprise_pct,sue,rev_actual,rev_estimate,rev_surprise_pct,close_prev_day,open_day1,gap_pct,volume_day1,avg_volume_20d,volume_ratio,guidance_flag,ret_1d,ret_5d,ret_10d,ret_20d,earnings_date,score,signal,reasons,signal_date,entry_open,entry_year,ret_3d,ret_close_1d,ret_close_3d,ret_close_5d,ret_close_10d,ret_close_20d,pnl_1d,pnl_3d,pnl_5d,pnl_10d,pnl_20d
MELI,2024-05-02,AMC,2024-05-03,6.78,6.03,0.75,0.1243781094527363,0.3063965120665977,4333000000.0,3835117751.0,0.1298218937007027,1505.989990234375,1620.0,0.0757043609220017,1346800.0,395725.0,3.403373554867648,0,0.013709852430555556,0.04938271604938271,0.07038890697337963,0.060524721498842596,2024-05-02,4,LONG,EPS strong beat; Revenue beat; Positive gap; High volume,2024-05-02,1620.0,2024,0.027777777777777776,0.02089504665798611,0.05974075882523148,0.04566047574266975,0.07973459502797067,0.04514815719039352,0.013709852430555556,0.027777777777777776,0.04938271604938271,0.07038890697337963,0.060524721498842596
PH,2024-05-02,AMC,2024-05-03,6.51,6.15,0.3599999999999994,0.0585365853658535,2.2031642209035747,5074356000.0,5065200012.0,0.0018076261506571,530.6799926757812,536.489990234375,0.010948212932051,970100.0,601455.0,1.6129219974894216,0,0.013830608296931507,0.05314173662992278,0.01770769291678631,-0.0044549100485423414,2024-05-02,4,LONG,SUE very strong; Positive gap; High volume,2024-05-02,536.489990234375,2024,0.022199918724456338,0.026654715005440366,0.0343342527268946,0.045928190827331336,0.0160673922609846,-0.04363543322458672,0.013830608296931507,0.022199918724456338,0.05314173662992278,0.01770769291678631,-0.0044549100485423414
ONTO,2024-05-09,AMC,2024-05-10,1.18,1.08,0.0999999999999998,0.0925925925925924,2.132007163556103,228846000.0,222600000.0,0.0280592991913746,208.4199981689453,227.16000366210932,0.0899146226744201,999100.0,509930.0,1.959288529798208,0,-0.011709823997300223,-0.006735335246660242,0.008143999009078832,-0.060574086739725606,2024-05-09,4,LONG,SUE very strong; Positive gap; High volume,2024-05-09,227.16000366210938,2024,0.01567176219933986,-0.02438813371900802,0.02848213204964977,-0.016112007409338974,0.02632503799583507,-0.03909141019394031,-0.011709823997300223,0.01567176219933986,-0.006735335246660242,0.008143999009078832,-0.060574086739725606
RBLX,2024-05-09,AMC,2024-05-10,-0.43,-0.5328,0.1028,0.192942942942943,2.445771090354748,801300000.0,929996861.0,-0.1383841885892129,30.420000076293945,30.90999984741211,0.016107816235675,21401900.0,9409345.0,2.2745366441553583,0,0.01617599490353481,0.062115884604358136,0.03138140789850906,0.1420252155069481,2024-05-09,4,LONG,SUE very strong; EPS strong beat; Revenue miss; Positive gap; High volume,2024-05-09,30.90999984741211,2024,0.035587139422557756,0.00161757480774407,0.06793912922962737,0.06438051401780924,0.05693944775870182,0.13199617765110663,0.01617599490353481,0.035587139422557756,0.062115884604358136,0.03138140789850906,0.1420252155069481
U,2024-05-09,AMC,2024-05-10,0.15,0.07393,0.07607,1.0289463005545787,1.7490052402427143,460380000.0,432668051.0,0.0640489838247844,24.15999984741211,24.0,-0.0066225102823933,26497400.0,6544755.0,4.04864658799298,0,-0.08791669209798177,-0.07666667302449544,-0.18541669845581055,-0.28208335240681964,2024-05-09,4,LONG,SUE positive; EPS strong beat; Revenue beat; High volume,2024-05-09,24.0,2024,-0.029166698455810547,-0.05458331108093262,-0.06750003496805827,-0.09708333015441895,-0.19166668256123862,-0.2512500286102295,-0.08791669209798177,-0.029166698455810547,-0.07666667302449544,-0.18541669845581055,-0.28208335240681964
SONY,2024-05-14,AMC,2024-05-15,0.21,0.17,0.0399999999999999,0.2352941176470586,0.3995009355511453,22946527872.0,19057737518.0,0.2040530965612809,16.246000289916992,16.540000915527344,0.018096800465578,10085000.0,4921600.0,2.049130364109233,0,0.014510263472407563,-0.011729155586593853,-0.026844027785017145,0.017775012212104535,2024-05-14,4,LONG,EPS strong beat; Revenue beat; Positive gap; High volume,2024-05-14,16.540000915527344,2024,0.012696437294360383,0.008343323657441127,0.010761758561504032,-0.017412339230353735,-0.023095522874113615,0.016928583059147177,0.014510263472407563,0.012696437294360383,-0.011729155586593853,-0.026844027785017145,0.017775012212104535
AMAT,2024-05-16,AMC,2024-05-17,2.09,1.99,0.0999999999999998,0.0502512562814069,2.425356250363329,6646000000.0,6536518563.0,0.0167491969838072,214.02999877929688,216.3999938964844,0.011073191284888,8031800.0,4374870.0,1.835894552295268,0,-0.019639556931008977,0.017560088534824804,0.008918706049010048,0.09366915362371571,2024-05-16,4,LONG,SUE very strong; Positive gap; High volume,2024-05-16,216.39999389648438,2024,0.019038865490668095,0.01640482048005957,0.008086876383356638,0.020748639647891445,-0.010120088929691814,0.1222736019416175,-0.019639556931008977,0.019038865490668095,0.017560088534824804,0.008918706049010048,0.09366915362371571
BIDU,2024-05-16,AMC,2024-05-17,2.76,2.3,0.4599999999999999,0.2,4.860089002917466,4832325260.0,4654392686.0,0.0382289561719202,112.58999633789062,111.05999755859376,-0.013589118297022,6284900.0,3675445.0,1.7099698131790844,0,-0.014046439698242532,-0.08851066466550195,-0.12146585773741253,-0.16963800425036835,2024-05-16,4,LONG,SUE very strong; EPS strong beat; Revenue beat; Negative gap; High volume,2024-05-16,111.05999755859375,2024,-0.06014767199730491,-0.019719024492651435,-0.07788577423586522,-0.09706464088124524,-0.1385737414727466,-0.1769313373712016,-0.014046439698242532,-0.06014767199730491,-0.08851066466550195,-0.12146585773741253,-0.16963800425036835
JD,2024-05-16,AMC,2024-05-17,0.78,0.63,0.15,0.2380952380952381,2.100420126042014,35954374740.0,35611825613.5122,0.0096189712430195,34.27000045776367,34.54499816894531,0.0080244443393154,19446000.0,12295830.0,1.5815117808232546,0,0.01606601055416197,-0.10421185887794779,-0.12346208448011675,-0.16109419370911168,2024-05-16,4,LONG,SUE very strong; EPS strong beat; High volume,2024-05-16,34.54499816894531,2024,-0.04617158751045191,0.0059343419285219886,-0.05398749349033389,-0.12375156861419975,-0.13446226072145873,-0.1535677718633127,0.01606601055416197,-0.04617158751045191,-0.10421185887794779,-0.12346208448011675,-0.16109419370911168
ADI,2024-05-22,AMC,2024-05-23,1.4,1.26,0.1399999999999999,0.111111111111111,2.800000000000005,2159039000.0,2105264074.0,0.0255430787349292,240.16000366210932,240.8800048828125,0.002998006369604,5578400.0,3151840.0,1.7698867962840754,0,-0.018889085683850667,-0.04475256792086714,-0.020051485109378302,-0.04080870820239711,2024-05-22,4,LONG,SUE very strong; EPS strong beat; High volume,2024-05-22,240.8800048828125,2024,-0.04624709051740521,-0.034747634533005556,-0.05284793560395867,-0.026527728579037332,-0.0253653291535097,-0.051560934561536605,-0.018889085683850667,-0.04624709051740521,-0.04475256792086714,-0.020051485109378302,-0.04080870820239711
