entry_day,hold_days,year,ret_col,count,mean,median,std,sharpe,t_stat,win_rate
2,5,2024,pnl,87,0.010286331093631695,0.0130905048700987,0.07528555802136024,0.13663086737981311,1.274407890403825,0.5977011494252874
2,5,2025,pnl,87,0.001533420061428961,0.0012886541829433,0.08053133959716495,0.01904128341959115,0.17760526811182184,0.5287356321839081
2,5,2026,pnl,15,-0.02867142948247767,-0.0211913617151766,0.06630671062422891,-0.4324061503361764,-1.674701819049672,0.26666666666666666
2,10,2018,pnl,69,-0.0038447715118386156,0.003225839266213,0.06828913549660844,-0.056301364541795455,-0.4676742582177277,0.5217391304347826
2,10,2019,pnl,75,0.029682332111305398,0.0280782938478762,0.0783414158897778,0.3788842947779608,3.2812342437266584,0.6666666666666666
2,10,2020,pnl,81,0.03191210314668985,0.025871855517237,0.1050814403453227,0.30368924371248684,2.7332031934123817,0.7037037037037037
2,10,2021,pnl,81,0.010055337452133797,0.0098384544911269,0.11938405975232007,0.08422680107373702,0.7580412096636332,0.5308641975308642
2,10,2022,pnl,81,0.010240921671354507,0.0036668342640455,0.10223342893826637,0.10017194745114619,0.9015475270603157,0.5308641975308642
2,10,2023,pnl,75,0.03618764185271281,0.023382923742997,0.08885328771462232,0.40727408949615623,3.5270970780684836,0.6266666666666667
2,10,2024,pnl,87,0.0259938632391098,0.0141511978232804,0.0965194430857003,0.26931219667346884,2.5119769419934483,0.5977011494252874
2,10,2025,pnl,87,-0.013212173711190421,-0.00313603515625,0.09150375146033979,-0.1443894212022218,-1.3467748628092218,0.4942528735632184
2,10,2026,pnl,12,-0.038178737849234486,-0.01312416689478235,0.07491309380421136,-0.5096403834156987,-1.7654460753297465,0.25
2,20,2018,pnl,69,0.02435456938169855,0.017440052665235,0.08112098076744367,0.3002252826740081,2.49385849731124,0.6231884057971014
2,20,2019,pnl,75,0.030100117723765293,0.0310865096639613,0.09047253085167517,0.33269896885180333,2.881257588385494,0.68
2,20,2020,pnl,81,0.06482290302118549,0.064665813563203,0.1481404571689775,0.4375773118294401,3.938195806464961,0.6790123456790124
2,20,2021,pnl,81,0.019870862149704394,0.0170650115132912,0.12676358004074056,0.15675529314743317,1.4107976383268985,0.5925925925925926
2,20,2022,pnl,81,0.00784393473318881,-0.002166432438126,0.13497344414318288,0.05811465198196904,0.5230318678377214,0.49382716049382713
2,20,2023,pnl,75,0.06339142292712982,0.0350867756770922,0.15755805113065088,0.40233693214803823,3.484340041208971,0.64
2,20,2024,pnl,87,0.02785100772181138,0.0175528723105257,0.11468444301531398,0.24284904725998793,2.265145116475387,0.5747126436781609
2,20,2025,pnl,87,-0.0039865707401651705,-0.0093617540724734,0.11412676840185498,-0.03493107529451762,-0.3258153800039518,0.45977011494252873
2,20,2026,pnl,9,-0.08406786179105952,-0.0601041099706869,0.09026567193897633,-0.9313381265016581,-2.7940143795049748,0.1111111111111111
3,3,2018,pnl,69,0.0011611271904720538,0.0027700584656075,0.041941359086483686,0.027684538979239868,0.2299650521188395,0.5362318840579711
3,3,2019,pnl,75,0.011702505974628295,0.011151022609783,0.03989707777061708,0.29331737131000646,2.540202949257385,0.6533333333333333
3,3,2020,pnl,81,0.020453041422066963,0.0149307876873188,0.10086210328544755,0.20278222202231175,1.8250399982008056,0.6049382716049383
3,3,2021,pnl,81,0.010943638126989967,0.0104771518890952,0.08632905857904762,0.1267665639718447,1.1408990757466022,0.6049382716049383
3,3,2022,pnl,81,0.014227261544561394,0.0144885883658888,0.08711823432648136,0.16330980138146267,1.4697882124331638,0.5925925925925926
3,3,2023,pnl,75,0.01658644031675817,0.0081411049811691,0.0592187727194478,0.28008753905349143,2.4256292410378966,0.5466666666666666
3,3,2024,pnl,87,0.0068128144406361,0.0121217503682151,0.05691485796584429,0.11970186141419525,1.116504634770505,0.5632183908045977
3,3,2025,pnl,87,0.0007417876770873558,0.0041090288054525,0.056536501647841464,0.01312050897149341,0.1223799605465715,0.5172413793103449
3,3,2026,pnl,15,-0.007900608769970311,0.0062814309667394,0.06687024134704163,-0.11814835135659096,-0.4575865971859393,0.5333333333333333
3,5,2018,pnl,69,0.001597487730722144,0.0053803185127662,0.05939937483729154,0.02689401588986463,0.22339847416044742,0.5362318840579711
3,5,2019,pnl,75,0.017274760647019074,0.0193222520332394,0.04575274324464158,0.3775677570774347,3.269832692789702,0.6266666666666667
3,5,2020,pnl,81,0.026361540098095243,0.0202541788205222,0.10924089217024073,0.24131567926975078,2.171841113427757,0.6172839506172839
3,5,2021,pnl,81,0.013109742292339093,0.0093117220701234,0.10683465082437597,0.12271058304753595,1.1043952474278234,0.5802469135802469
3,5,2022,pnl,81,0.012250947614496915,0.0131861483326462,0.0953807252804688,0.12844259234214014,1.1559833310792613,0.6049382716049383
3,5,2023,pnl,75,0.029669587076233295,0.0239233739845775,0.07197271463028478,0.41223381983912116,3.570049602797765,0.64
3,5,2024,pnl,87,0.009996101155794166,0.0056012556580531,0.06532967498620645,0.15301011612111523,1.4271833520187773,0.5862068965517241
3,5,2025,pnl,87,-0.007265442095198052,0.0009261056515458,0.0651265471070626,-0.1115588407175076,-1.040551594095352,0.5057471264367817
3,5,2026,pnl,15,-0.008852723842019692,-0.0363240644954869,0.07286607461921578,-0.12149308012380713,-0.4705406759989484,0.4
3,10,2018,pnl,69,0.003393953280521663,0.0156971447360611,0.06988492263767652,0.048564885706719046,0.40341023851132135,0.5797101449275363
3,10,2019,pnl,75,0.0260171062628952,0.0218517544138606,0.07376477437091765,0.352703664923737,3.054503338318307,0.6666666666666666
3,10,2020,pnl,81,0.04057567999061422,0.0373448285672077,0.12409016880473571,0.3269854524451716,2.942869072006544,0.6666666666666666
3,10,2021,pnl,81,0.013288045852566387,0.0180893680086811,0.10995981983640132,0.12084455824260532,1.0876010241834477,0.6049382716049383
3,10,2022,pnl,81,0.01012654061423979,0.0057441573129391,0.10932068132089427,0.09263151758554146,0.8336836582698731,0.5308641975308642
3,10,2023,pnl,75,0.04724245628719643,0.0301267196290373,0.10627248748448223,0.4445407970157348,3.8498362323420787,0.6533333333333333
3,10,2024,pnl,87,0.028686934295173987,0.026038174128372,0.08626355939694332,0.332549856459905,3.10181856525181,0.632183908045977
3,10,2025,pnl,87,-0.017014962456798816,-0.0094945215916895,0.08495421638413954,-0.20028390798005655,-1.8681239279639474,0.4367816091954023
3,10,2026,pnl,12,-0.016568136962777945,-0.0111247820961455,0.07920930861639268,-0.20916906424492013,-0.7245828932876804,0.3333333333333333
3,20,2018,pnl,69,0.0366542506445932,0.02439024930554,0.08196494696980687,0.4471942214285259,3.714674191077263,0.6231884057971014
3,20,2019,pnl,75,0.0350234289727252,0.0335546026614017,0.09176350461544762,0.38167056848468817,3.3053640818458834,0.68
3,20,2020,pnl,81,0.0730477383764356,0.0643869484335905,0.1808761165764227,0.40385507915066227,3.6346957123559607,0.7283950617283951
3,20,2021,pnl,81,0.02509545862220682,0.0284836802787025,0.11414956645362812,0.21984716545026517,1.9786244890523865,0.6666666666666666
3,20,2022,pnl,81,0.005902863843503959,0.019996430456113,0.12272568816149772,0.04809803010219211,0.432882270919729,0.5308641975308642
3,20,2023,pnl,75,0.06617933740617914,0.0257801981235778,0.18061400566181962,0.36641309827374546,3.1732305138442767,0.64
3,20,2024,pnl,87,0.030665259280018755,0.0227345822039178,0.11012673246420149,0.2784542734888371,2.5972485577828435,0.632183908045977
3,20,2025,pnl,87,-0.00925603582468941,-0.0029397619775978,0.10692907644334528,-0.08656238445670648,-0.8074001715669048,0.4482758620689655
3,20,2026,pnl,9,-0.03937505618951252,-0.0161027602005821,0.112853541029571,-0.3489040381922538,-1.0467121145767615,0.4444444444444444
5,3,2018,pnl,69,0.0020676712243472744,0.0054805970297686,0.04051911440917104,0.05102952654560684,0.4238830829171492,0.5652173913043478
5,3,2019,pnl,75,0.012976770821015948,0.0133981697091012,0.04183847278655465,0.31016358764381585,2.6860954622846576,0.7066666666666667
5,3,2020,pnl,81,0.008392566011991053,0.00695049499102,0.07729219856208916,0.10858231707886104,0.9772408537097493,0.6049382716049383
5,3,2021,pnl,81,0.005343378127429435,0.0051288108311005,0.0625028386085698,0.08549016726892787,0.7694115054203509,0.5185185185185185
5,3,2022,pnl,81,0.00582491961728278,0.0122959427506158,0.07039804266369094,0.08274263597227949,0.7446837237505153,0.5802469135802469
5,3,2023,pnl,75,0.01841058238561025,0.0157152149488498,0.05069258674477507,0.36318096131694927,3.145239386713316,0.6533333333333333
5,3,2024,pnl,87,0.00479477539318511,0.0036810660183709,0.05333926993413782,0.08989203262634819,0.8384570621585765,0.5517241379310345
5,3,2025,pnl,87,-0.013349652815150156,-0.0076574618499622,0.052524323274464296,-0.2541613481699124,-2.370659235024855,0.40229885057471265
5,3,2026,pnl,15,-0.009884602746227943,0.0055555060076624,0.07121292785275268,-0.1388034875727394,-0.5375835957647278,0.5333333333333333
5,5,2018,pnl,69,-0.001191332086002128,0.004657066056955,0.05666340871630688,-0.02102471617912532,-0.1746444091246021,0.5507246376811594
5,5,2019,pnl,75,0.018855721193216258,0.0178711298524365,0.05635399160094366,0.334594243593927,2.8976711491237945,0.68
